artist,album,song
starr,RingoRama,Memphis In Your Mind-0XwFvuUkN00.png
mccartney,MemoryAlmostFull,Ever Present Past-raw_sIqjO3Y.png
starr,YNot,Ringo Starr - Y Not-s5H9yDn6jV4.png
starr,BeaucoupsOfBlues,Waiting-knEhJRs3QBY.png
starr,SmellTheRoses,Ringo Starr Back - Off Boogaloo-fYOVk3P71yM.png
mccartney,BackToTheEgg,So Glad To See You Here (Remastered 1993)-rIl9EoCWDmM.png
Lennon,WallsAndBridges,Scared (Remastered 2010)-YBk_w0nQUPQ.png
harrison,MaterialWorld,Be Here Now _ Living In The Material World _ Track 8-UR-wY7N2lrY.png
harrison,SomewhereEngland,Baltimore Oriole (2004 Mix)-BJgqiNvreLQ.png
mccartney,RegardsToBroadStreet,'Ballroom Dancing' - PaulMcCartney.com Track of the Week-DNEHF2fAhh8.png
Lennon,WallsAndBridges,Bless You (Remastered 2010)-j1Xeqh2sbQU.png
harrison,CloudNine,Fish On The Sand (2004 Mix)-zhyU4YRP55k.png
Lennon,WallsAndBridges,John Lennon - Whatever Gets You Thru The Night-7qwq76p93U8.png
mccartney,VenusAndMars,Rock Show (1993 Digital Remaster)-RhxrDUSkGlI.png
harrison,CloudNine,Breath Away From Heaven (2004 Mix)-YXZqp-NGDpY.png
Lennon,MilkAndHoney,Let Me Count The Ways (Remastered 2010)-JW8ua96FkI8.png
Lennon,DoubleFantasy,Dear Yoko-7htvdqzp6gY.png
starr,Liverpool8,If It's Love That You Want-1uTioa4eFSM.png
mccartney,PressToPlay,However Absurd (1993 Digital Remaster)-1wK02XbAtwU.png
harrison,Brainwashed,Run So Far-IuH_hGxXrD4.png
mccartney,BandOnTheRun,Nineteen Hundred And Eighty Five (Remastered 2010)-utMD5GDkLk8.png
starr,PostcardsParadise,Ringo Starr - Right Side Of The Road (Audio)-Kahcu4_YmpI.png
mccartney,ChaosAndCreation,Anyway-qiwystHAzxY.png
starr,YNot,Ringo Star - Fill in the blanks-YS4bKPJAfWU.png
mccartney,DrivingRain,Paul McCartney - Heather-H1rTIGnh4b8.png
mccartney,PipesOfPeace,Paul McCartney - Through Our Love-SwFTw5zMIoc.png
Lennon,Imagine,Jealous Guy (Remastered 2010)-3O4J4DH4tyo.png
starr,OldWave,Ringo Starr - In My Car-s3YeEAiXmgk.png
starr,ChooseLove,Some People-4hOgKyeQO-8.png
harrison,Brainwashed,Never Get Over You-shp05kS6mH0.png
Lennon,RocknRoll,Be-Bop-A-Lula (Remastered 2010)-S8huF2Jgn4c.png
mccartney,WildLife,Paul McCartney & Wings - Tomorrow-wwmOBKdROIQ.png
Lennon,DoubleFantasy,Watching The Wheels-2Kx2PbA8bCI.png
starr,Ringo2012,Samba-WrKuhhLYQzY.png
harrison,DarkHorse,Simply Shady (2014 Mix)-q40xr1YtbHc.png
mccartney,ChaosAndCreation,Jenny Wren-wubCa3JZdEk.png
mccartney,FlamingPie,The Song We Were Singing-Q4qObxQL4x0.png
mccartney,RedRoseSpeedway,Paul McCartney & wings - My Love-p8eU1XYrUoc.png
starr,GoodnightVienna,Call Me-wbDPuEyIekg.png
starr,GoodnightVienna,Husbands And Wives-ht9fgZIkQww.png
starr,PostcardsParadise,You Bring The Party Down-YSKyQQr8slg.png
mccartney,OffTheGround,Golden Earth Girl-lHSg7kpI6xE.png
mccartney,DrivingRain,Paul McCartney Driving Rain 16_16 - Freedom-gn5Cbe7a7Hk.png
starr,PostcardsParadise,Ringo Starr - Confirmation (Audio)-8dnWlSLSdCM.png
harrison,AllMustPass,My Sweet Lord (2014 Mix)--59rmRj4QnA.png
